,Year,Population,Total,Total Violent Crimes,Murder,Rape,Robbery,Aggravated Assault,Total Property Crimes,Burglary,Larceny,Motor Vehicle Theft
0,1965,18073000,554050,58802,836,2320,28182,27464,495248,183443,253353,58452
1,1966,18258000,609465,62561,882,2439,30098,29142,546904,196127,286409,64368
2,1967,18336000,692528,75124,996,2665,40202,31261,617404,219157,314472,83775
3,1968,18113000,829453,98515,1185,2527,59857,34946,730938,250918,375143,104877
4,1969,18321000,837210,105870,1324,2902,64754,36890,731340,248477,367463,115400
5,1970,18190740,904314,124613,1444,2875,81149,39145,779701,267474,386553,125674
6,1971,18391000,935022,145048,1823,3225,97682,42318,789974,273704,388612,127658
7,1972,18366000,804605,138542,2026,4199,86391,45926,666063,239886,321096,105081
8,1973,18265000,814349,135468,2040,4852,80795,47781,678881,246246,320307,112328
9,1974,18111000,911703,145427,1919,5240,86814,51454,766276,271824,390357,104095
10,1975,18120000,1021197,155187,1996,5099,93499,54593,866010,301996,447740,116274
11,1976,18084000,1125739,156988,1969,4663,95718,54638,968751,318919,516328,133504
12,1977,17924000,1091144,149087,1919,5272,84703,57193,942057,309735,498653,133669
13,1978,17748000,1027993,149257,1820,5168,83785,58484,878736,292956,466516,119264
14,1979,17649000,1095140,161906,2092,5394,93471,60949,933234,308302,500589,124343
15,1980,17506690,1209984,180235,2228,5405,112273,60329,1029749,360925,535783,133041
16,1981,17594000,1214935,188178,2166,5479,120344,60189,1026757,350422,539486,136849
17,1982,17659000,1142202,174833,2013,5159,107843,59818,967369,295245,534244,137880
18,1983,17667000,1042811,161489,1958,5296,94783,59452,881322,249115,504346,127861
19,1984,17735000,989126,162157,1786,5599,89900,64872,826969,222956,488621,115392
20,1985,17783000,993811,165365,1683,5706,89706,68270,828446,219633,502276,106537
21,1986,17772000,1025037,175210,1907,5415,91360,76528,849827,217010,519570,113247
22,1987,17825000,1061021,179691,2016,5537,89721,82417,881330,216826,539175,125329
23,1988,17898000,1129241,196396,2244,5479,97434,91239,932845,218060,560887,153898
24,1989,17950000,1129638,203042,2246,5242,103983,91571,926596,211130,544459,171007
25,1990,17990455,1144874,212458,2605,5368,112380,92105,932416,208813,536012,187591
26,1991,18058000,1127651,210184,2571,5085,112342,90186,917467,204499,531681,181287
27,1992,18119000,1061489,203311,2397,5152,108154,87608,858178,193548,495708,168922
28,1993,18197000,1010176,195352,2420,5008,102122,85802,814824,181709,481166,151949
29,1994,18169000,921278,175433,2016,4700,86617,82100,745845,164650,452322,128873
30,1995,18136000,827025,152683,1550,4290,72492,74351,674342,146562,425184,102596
31,1996,18185000,751456,132206,1353,4174,61822,64857,619250,129828,399522,89900
32,1997,18137000,709328,124890,1093,4075,56094,63628,584438,118306,386435,79697
33,1998,18175000,652202,115915,924,3843,49125,62023,536287,104821,363295,68171
34,1999,18196601,596743,107147,903,3563,43821,58860,489596,93217,338118,58261
35,2000,18976457,588189,124890,952,3530,40539,60090,483078,87946,340901,54231
36,2001,19084350,556025,98022,960,3546,36555,56961,458003,80400,329316,48287
37,2002,19134293,537121,95030,909,3885,36653,53583,442091,76700,318025,47366
38,2003,19212425,521565,89486,934,3775,35790,48987,432079,75453,311422,45204
39,2004,19280727,507648,84914,889,3608,33506,46911,422734,70696,311036,41002
40,2005,19315721,491829,85839,874,3636,35179,46150,405990,68034,302220,35736
41,2006,19306183,482270,83966,921,3169,34489,45387,396304,68565,295605,32134
42,2007,19297729,461731,79915,801,2926,31094,45094,381816,64857,288929,28030
43,2008,19467789,466131,77546,836,2799,31789,42122,388585,65537,297952,25096
44,2009,19541453,452647,75110,781,2582,28141,43606,377537,62769,292897,21871
45,2010,19395206,456202,76492,868,2797,28630,44197,379710,65839,293232,20639
46,2011,19501616,449300,77463,769,2751,28405,45538,371837,65227,287361,19249
47,2012,19576125,454803,79535,683,2837,28633,47382,375268,64389,293562,17317
48,2013,19695680,436166,77563,644,2575,27241,46130,358603,56444,286676,15483
49,2014,19748858,415085,75972,616,4316,24036,45295,339113,50738,272624,15751
50,2015,19747183,392351,75126,613,4414,23879,44493,317225,44117,257837,15271
51,2016,19745289,379466,74285,630,4569,22316,45079,305181,39821,250968,14392
52,2017,19590719,364136,70746,550,6297,20122,43777,293390,34928,245093,13369
53,2018,19530351,350055,68512,562,6577,18191,43182,281543,31158,237243,13142
54,2019,19453561,336919,69764,558,6583,18068,44555,267155,27600,226851,12704
